2023-04-05 16:25:41,142 - INFO - Fold [2/5], Epoch [54/100], Train Loss: 2.0912, Train Acc: 0.3053, Val Loss: 2.0829, Val Acc: 0.3053
2023-04-05 16:25:42,917 - INFO - Fold [2/5], Epoch [55/100], Train Loss: 2.0953, Train Acc: 0.3053, Val Loss: 2.0977, Val Acc: 0.3053
2023-04-05 16:25:44,692 - INFO - Fold [2/5], Epoch [56/100], Train Loss: 2.0971, Train Acc: 0.3053, Val Loss: 2.0840, Val Acc: 0.3053
2023-04-05 16:25:46,466 - INFO - Fold [2/5], Epoch [57/100], Train Loss: 2.0882, Train Acc: 0.3053, Val Loss: 2.0988, Val Acc: 0.3053
2023-04-05 16:25:48,252 - INFO - Fold [2/5], Epoch [58/100], Train Loss: 2.0955, Train Acc: 0.3053, Val Loss: 2.0870, Val Acc: 0.3053
2023-04-05 16:25:50,031 - INFO - Fold [2/5], Epoch [59/100], Train Loss: 2.0932, Train Acc: 0.3053, Val Loss: 2.0838, Val Acc: 0.3053
2023-04-05 16:25:51,818 - INFO - Fold [2/5], Epoch [60/100], Train Loss: 2.0898, Train Acc: 0.3053, Val Loss: 2.0845, Val Acc: 0.3053
2023-04-05 16:25:53,600 - INFO - Fold [2/5], Epoch [61/100], Train Loss: 2.0936, Train Acc: 0.3053, Val Loss: 2.0926, Val Acc: 0.3053
2023-04-05 16:25:55,382 - INFO - Fold [2/5], Epoch [62/100], Train Loss: 2.0971, Train Acc: 0.3053, Val Loss: 2.0850, Val Acc: 0.3053
2023-04-05 16:25:57,178 - INFO - Fold [2/5], Epoch [63/100], Train Loss: 2.0935, Train Acc: 0.3053, Val Loss: 2.0844, Val Acc: 0.3053
2023-04-05 16:25:58,960 - INFO - Fold [2/5], Epoch [64/100], Train Loss: 2.0964, Train Acc: 0.3053, Val Loss: 2.0914, Val Acc: 0.3053
